Index,C1,C2
0,8,8
1,8,12
2,8,8
3,8,8
4,0,0
5,0,0
6,0,12
7,0,0
8,0,0
9,0,0
10,0,0
11,1,0
12,0,0
13,0,0
14,0,0
15,0,2
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,2
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,2
36,8,8
37,0,0
38,2,2
39,0,0
40,8,12
41,0,0
42,0,0
43,0,0
44,8,8
45,0,8
46,8,8
47,0,0
48,0,0
49,0,8
50,8,8
51,0,0
52,0,0
53,0,8
54,10,8
55,0,0
56,8,11
57,0,0
58,0,8
59,8,8
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,8,8
70,0,0
71,0,8
72,0,0
73,0,0
74,8,8
75,8,8
76,0,0
77,0,0
78,2,10
79,0,8
80,0,8
81,8,12
82,0,8
83,0,0
84,8,8
85,8,10
86,0,8
87,8,12
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,8
96,2,2
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,8,8
103,0,12
104,8,10
105,8,8
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,8
113,0,8
114,0,8
115,0,8
116,0,8
117,0,0
118,0,0
119,0,8
120,0,8
121,0,0
122,0,8
123,10,10
124,0,8
125,0,8
126,0,0
127,0,0
128,0,0
129,1,8
130,0,8
131,0,0
132,8,12
133,0,0
134,0,0
135,0,8
136,0,0
137,0,0
138,0,8
139,8,8
140,8,8
141,0,0
142,0,0
143,0,8
144,0,8
145,0,0
146,8,8
147,8,8
148,8,10
149,8,8
150,0,10
151,0,2
152,8,9
153,0,0
154,0,0
155,0,0
156,0,0
157,2,0
158,0,0
159,0,0
160,2,8
161,0,8
162,0,8
163,0,8
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,8
170,0,0
171,0,0
172,0,8
173,0,8
174,0,8
175,8,8
176,8,0
177,8,8
178,8,8
179,2,10
180,8,8
181,0,0
182,8,8
183,0,0
184,8,12
185,0,0
186,0,0
187,10,10
188,8,8
189,8,8
190,8,10
191,8,8
192,8,8
193,0,0
194,8,0
195,0,0
196,8,8
197,0,0
198,0,0
199,0,0
200,8,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,8,8
209,8,10
210,2,0
211,2,2
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,8,0
219,0,0
220,0,0
221,0,0
222,10,0
223,0,0
224,0,0
225,2,0
226,0,0
227,8,8
228,9,11
229,8,2
230,8,8
231,0,0
232,0,0
233,0,0
234,8,8
235,8,8
236,8,0
237,12,9
238,0,0
239,0,0
240,0,0
241,0,0
242,8,8
243,0,0
244,0,0
245,0,0
246,0,0
247,8,8
248,0,0
249,8,8
250,8,8
251,8,0
252,8,14
253,12,8
254,0,0
255,0,0
256,8,10
257,8,0
258,10,10
259,0,0
260,0,0
261,8,8
262,0,1
263,8,10
264,8,8
265,0,0
266,0,0
267,0,0
268,8,8
269,12,8
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,8
276,8,8
277,0,0
278,12,8
279,8,8
280,14,10
281,0,0
282,8,0
283,14,14
284,8,14
285,8,9
286,10,8
287,8,8
288,8,8
289,8,8
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,0,0
301,0,0
302,0,0
303,0,8
304,0,0
305,0,2
306,0,0
307,9,2
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,8,8
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,11,11
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,10,8
331,8,8
332,0,0
333,0,2
334,0,0
335,0,0
336,0,0
337,8,0
338,0,0
339,8,0
340,8,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,9
352,0,0
353,0,0
354,0,8
355,0,0
356,0,0
357,8,2
358,10,2
359,0,2
360,0,2
361,8,2
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,14,12
369,8,8
370,0,0
371,0,0
372,0,0
373,0,0
374,8,8
375,15,13
376,0,8
377,0,0
378,0,8
379,0,0
380,0,8
381,0,8
382,0,8
383,0,0
384,0,0
385,0,0
386,0,0
387,0,8
388,0,0
389,0,0
390,0,0
391,8,0
392,0,0
393,0,0
394,8,8
395,0,8
396,0,8
397,0,0
398,0,0
399,8,8
400,8,0
401,8,0
402,12,8
403,12,12
404,0,0
405,0,0
406,8,8
407,0,0
408,0,8
409,8,8
410,8,8
411,8,8
412,9,9
413,0,0
414,0,0
415,8,0
416,0,0
417,8,9
418,9,9
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,8,8
425,0,0
426,0,0
427,0,0
428,0,0
429,8,8
430,10,10
431,2,2
432,0,0
433,0,0
434,8,8
435,0,0
436,0,0
437,0,0
438,12,8
439,8,8
440,0,0
441,8,8
442,8,8
443,12,12
444,8,8
445,0,0
446,0,0
447,0,0
448,10,10
449,2,0
450,10,10
451,10,10
452,2,10
453,0,0
454,0,0
455,8,8
456,0,0
457,12,12
458,0,0
459,8,8
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,12,8
468,0,0
469,8,0
470,8,8
471,14,10
472,8,12
473,0,0
474,0,8
475,0,0
476,0,0
477,10,10
478,2,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,10,10
487,0,0
488,0,0
489,2,10
490,0,0
491,0,0
492,0,10
493,0,2
494,0,8
495,9,8
496,8,8
497,9,9
498,0,0
499,0,0
500,0,0
501,8,8
502,8,8
503,0,0
504,10,10
505,8,8
506,8,8
507,8,8
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,8,8
514,2,2
515,0,0
516,0,0
517,0,0
518,8,8
519,0,0
520,0,8
521,0,0
522,0,0
523,0,0
524,0,0
525,8,8
526,8,8
527,8,8
528,8,8
529,4,8
530,0,0
531,0,0
532,0,0
533,0,0
534,8,8
535,0,0
536,0,0
537,0,0
538,8,8
539,8,8
540,8,8
541,0,0
542,8,8
543,8,8
544,0,0
545,0,0
546,0,0
547,8,8
548,8,8
549,0,0
550,8,8
551,0,0
552,0,0
553,8,8
554,8,8
555,12,12
556,0,0
557,0,0
558,0,0
559,8,8
560,8,8
561,0,0
562,0,0
563,10,10
564,0,0
565,11,11
566,0,0
567,8,8
568,0,0
569,8,8
570,0,0
571,10,10
572,8,8
573,0,0
574,2,2
575,12,12
576,8,0
577,0,0
578,12,12
579,8,8
580,0,0
581,0,0
582,2,10
583,0,0
584,8,8
585,8,8
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,0
594,8,8
595,10,10
596,8,8
597,0,0
598,0,0
599,12,12
600,0,0
601,8,8
602,8,8
603,8,8
604,0,0
605,0,0
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,8,8
612,12,12
613,8,8
614,8,8
615,0,0
616,8,8
617,8,8
618,8,8
619,0,0
620,8,8
621,0,0
622,8,8
623,8,8
624,8,8
625,8,8
626,8,8
627,0,0
628,0,0
629,0,0
630,0,0
631,8,8
632,10,10
633,0,0
634,0,0
635,0,0
636,8,8
637,8,8
638,0,0
639,8,8
640,8,8
641,8,8
642,12,12
643,8,8
644,0,0
645,14,14
646,9,9
647,0,0
648,10,10
649,0,0
650,8,8
651,14,10
652,0,0
653,0,0
654,8,8
655,10,11
656,10,10
657,0,8
658,10,10
659,0,10
660,2,10
661,10,10
662,10,10
663,10,10
664,10,10
665,10,10
666,10,10
667,10,10
668,10,10
669,2,2
670,0,0
671,0,0
672,0,0
673,8,8
674,10,10
675,0,0
676,8,8
677,0,0
678,0,0
679,0,0
680,0,0
681,8,8
682,0,0
683,8,8
684,8,8
685,4,12
686,8,8
687,8,8
688,8,8
689,12,8
690,0,0
691,0,0
692,8,8
693,8,8
694,8,8
695,12,14
696,0,0
697,8,8
698,9,9
699,8,8
700,8,8
701,12,12
702,0,0
703,8,8
704,0,0
705,10,8
706,8,8
707,0,0
708,8,8
709,12,12
710,0,0
711,12,10
712,12,12
713,12,8
714,8,8
715,8,8
716,12,12
717,0,0
718,0,0
719,8,8
720,12,12
721,0,0
722,8,8
723,8,8
724,11,11
725,8,8
726,8,8
727,0,0
728,12,12
729,0,0
730,10,10
731,8,8
732,9,9
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,8,8
739,0,0
740,12,12
741,0,0
742,0,0
743,0,0
744,0,0
745,12,12
746,0,0
747,8,8
748,0,0
749,10,10
750,0,0
751,0,0
752,12,8
753,0,0
754,0,0
755,14,14
756,8,8
757,12,12
758,0,0
759,10,10
760,8,8
761,8,8